OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID30684,951,0.05641163464445452,0.029163615281308366,0.053375136112676344,0.7238326938160109,48.337307874534666,P00742,F10,Inflammation_II,Unique Protein
OID30685,951,-0.013028073668336306,0.033283226447333863,0.6955679651928997,0.9266842125154264,65.13055147784573,P04278,SHBG,Inflammation_II,Unique Protein
OID30686,951,-0.015490426998124996,0.029664689581272892,0.6016656313276249,0.8990754178896271,296.18783150164865,P02652,APOA2,Inflammation_II,Unique Protein
OID30687,951,0.0027856293017371843,0.030575271028522977,0.9274268330387123,0.980432630224128,32.115765787191044,P20061,TCN1,Inflammation_II,Unique Protein
OID30688,951,-0.02819192228301404,0.02924764908246979,0.33534281452865355,0.8383903383001444,42.043497437421436,P12955,PEPD,Inflammation_II,Unique Protein
OID30689,951,0.04882961225925892,0.0366462291791138,0.1830332242128075,0.820689083731335,40.339789114263894,Q93091,RNASE6,Inflammation_II,Unique Protein
OID30690,951,-0.025559204437555005,0.030336213621397545,0.39970572192536247,0.8571169681711508,67.88443019779534,O00602,FCN1,Inflammation_II,Unique Protein
OID30691,951,-0.010399376469295132,0.03308887830687459,0.7533736717131262,0.943838131694293,33.08846586618987,O43493,TGOLN2,Inflammation_II,Unique Protein
OID30692,951,0.028896284062617763,0.031104647820155613,0.35312723868925266,0.84238117206175,71.09200465482563,P50552,VASP,Inflammation_II,Unique Protein
OID30693,951,0.03791948692470003,0.029559434772820734,0.19987174565313948,0.820689083731335,50.96098485171356,P16233,PNLIP,Inflammation_II,Unique Protein
OID30694,951,0.03556981721008313,0.030868508632061357,0.2494912552886704,0.820689083731335,46.625836782532005,P22897,MRC1,Inflammation_II,Unique Protein
OID30696,951,0.015532587255070318,0.02946041193007399,0.5981545758424902,0.8987035688426278,31.10380543227429,P12821,ACE,Inflammation_II,Unique Protein
OID30697,951,-0.02408714602802464,0.030149018859371237,0.42452980244834737,0.8638175655543886,68.10167107993831,P17927,CR1,Inflammation_II,Unique Protein
OID30698,951,-0.023329954302983465,0.029366116409241506,0.42713381644171877,0.8638175655543886,137.75459483346347,P02748,C9,Inflammation_II,Unique Protein
OID30699,951,0.010108268473779271,0.030564889147375256,0.7409336787350747,0.9413484708938393,60.96090674705654,P0DJD7,PGA4,Inflammation_II,Unique Protein
OID30700,951,0.019098486892104846,0.02948563569437245,0.5173236174270792,0.8925212870448803,49.46928216124872,P00390,GSR,Inflammation_II,Unique Protein
OID30701,951,-0.04576396437252578,0.03668968304777781,0.2125899620001539,0.820689083731335,63.08711133195637,Q13790,APOF,Inflammation_II,Unique Protein
OID30702,951,-0.0026988705634850177,0.03080634974061264,0.9302072751690844,0.9808309637660398,45.85176267953174,Q08830,FGL1,Inflammation_II,Unique Protein
OID30703,951,-0.01834038279548634,0.03006521280984764,0.5419964303419085,0.8934150830743494,67.06935791207201,P09172,DBH,Inflammation_II,Unique Protein
OID30704,951,-0.005293708949560867,0.03311032940018649,0.8730093599585027,0.9644537883246134,50.687315448186546,P27169,PON1,Inflammation_II,Unique Protein
OID30705,951,0.02866221632836779,0.03428624937215282,0.4033858807800804,0.8587741657102513,64.20714784473488,P34096,RNASE4,Inflammation_II,Unique Protein
OID30706,951,-0.0032050925425959457,0.02883706574679728,0.9115252534174528,0.9777571800877852,72.78231284247772,P02765,AHSG,Inflammation_II,Unique Protein
OID30707,951,-0.03309300184921232,0.031043446765049523,0.2866882307537607,0.8318187009207437,33.34499774227177,P0DUB6_P0DTE7_P0DTE8,AMY1A_AMY1B_AMY1C,Inflammation_II,Unique Protein
