protein,Nobs_wmh,model_wmh,beta_wmh,SE_wmh,P_wmh,beta_time_wmh,SE_time_wmh,P_time_wmh,beta_int_time_wmh,SE_int_time_wmh,P_int_time_wmh,P_wmh_fdr,P_time_wmh_fdr,P_time_wmh_int_fdr
OID30747,2797,lmer,-0.022254993236454117,0.03165027518412781,0.4821348588612827,0.04739434984330766,0.008129711165091508,6.5176490043283895e-9,0.008431662722807877,0.0077104005545557555,0.27429741617427744,0.9637176672984354,1.0542937487355774e-8,0.6358218457394235
OID30748,2060,lmer,0.00423378590403594,0.03217004444940932,0.8953344403562946,0.10863018020317143,0.009923213199083392,8.206266165489176e-27,0.030202151385927408,0.009261445840343498,0.001137321050653209,0.9908702187566323,1.8451473847480662e-26,0.019216123878955667
OID30749,2797,lmer,-0.0036347933987111373,0.025331268653584486,0.8859343286310597,-0.06006374533106825,0.014905758099066252,5.806275375439472e-5,-0.01541773397303643,0.01428901022133956,0.28073119248766204,0.9905478526706181,8.352235690162194e-5,0.6440951928111744
OID30750,2797,lmer,-0.012803579169971165,0.02494697997271344,0.607913550197863,0.04084981137962668,0.017936604665995975,0.02286874607809744,0.037055756476839036,0.017249969282062173,0.0318296682122962,0.9647934823891748,0.0287259754130979,0.19150071635774238
OID30751,2797,lmer,-0.0015849479959775565,0.02465091786577479,0.9487486835443957,0.1441712014676688,0.013858850811714682,1.0767580619133718e-24,0.0381391787906175,0.013275678774019093,0.0041138737009883755,0.9968340769231735,2.331380603683545e-24,0.05116958650208094
OID30752,2797,lmer,-0.043499304659275415,0.027019041713263563,0.10775011560599987,-0.08492605937386374,0.014276960447719374,3.2095642369387163e-9,0.004887292342367955,0.013662696730398414,0.720600486359041,0.8765902168621773,5.246955405241537e-9,0.9020621934164782
OID30753,2797,lmer,-0.036988686969495824,0.02423548336215145,0.1272972049365369,0.07377308902524135,0.016653860074972614,9.961800104537937e-6,-1.1365040261011172e-4,0.016004777427173426,0.9943350037418449,0.88927197484369,1.473600288743137e-5,0.9972799084663992
OID30754,2797,lmer,-0.007450513891233565,0.027678263767561523,0.7878483914335264,-0.048075473839014456,0.014635274693152142,0.0010384746323970787,-0.026763255442277575,0.01400574552296809,0.05617335786022652,0.9872204320553253,0.001407913427874147,0.27642209600242784
OID30755,2797,lmer,0.04782130492553152,0.026825366762646883,0.07496148547596522,0.036007102345852415,0.013226215598184356,0.0065394540432391745,-0.02798809720636588,0.01264347704435705,0.026974234512464796,0.8055603751700233,0.00848416518792193,0.17405229024268123
OID30756,2571,lmer,-0.03459201313585878,0.022775599166084636,0.1291654772319326,-0.025998283528995837,0.017140566486929455,0.1295034608131489,-0.015845873358446245,0.016348470793068757,0.332553000830645,0.88927197484369,0.151113219942848,0.690236190875829
