protein,Nobs_fa,model_fa,beta_fa,SE_fa,P_fa,beta_time_fa,SE_time_fa,P_time_fa,beta_int_time_fa,SE_int_time_fa,P_int_time_fa,P_fa_fdr,P_time_fa_fdr,P_time_fa_int_fdr
OID30923,3499,lmer,0.008167170016771894,0.02526970986310982,0.7466032503716142,0.003066532554082464,0.013522999656106325,0.8206267239319416,0.013609014379009039,0.013495420377122208,0.3133598328270459,0.8694507174646328,0.8369476322585713,0.5125633975117264
OID30924,3499,lmer,-0.01533188955589132,0.02127001517155463,0.4711644651708431,-0.04024303788296632,0.015096738034998681,0.007735048784754709,0.007856560288442279,0.015108833990277551,0.6031141284941611,0.6817889760863239,0.009770763871148665,0.7514503826037651
OID30925,3499,lmer,0.0046383680642791865,0.02247826945971411,0.8365540208671669,0.25513613830571247,0.013925011752288644,2.6928263966872588e-70,0.01519271111909049,0.013917897593615372,0.27512258561835784,0.9158229973763029,1.1148911554556455e-69,0.4691851328835822
OID30926,3499,lmer,-0.03306970052415058,0.020709211868464406,0.1105787542748159,-0.04379439493824146,0.015681391739855596,0.005268263805669681,-0.03076058425265992,0.01570288596100723,0.05024295163857107,0.35324775819157034,0.006715715265578926,0.20313928352553282
OID30927,3499,lmer,-0.034628783888639825,0.0205534783261751,0.09229718028477223,0.02305810136609746,0.01576143693982649,0.14361491474176014,-0.01517267524087558,0.01578471835772349,0.33653817069551994,0.3303557585625982,0.16436428965942243,0.5380912188496569
OID30928,3499,lmer,-0.04072737193257095,0.024268107015440066,0.09357775380987611,0.0016871067278115253,0.013972991352388284,0.9039068001346631,0.02443238616710956,0.013955316480954546,0.08012004395751589,0.3331641588139682,0.911075716135731,0.25022974646224744
OID30929,3499,lmer,0.007807200516974117,0.019558386796584143,0.6898364849545151,0.13214002031603714,0.016170052238330054,4.834869910021823e-16,0.01328538083358068,0.016203614845252953,0.41235362665178443,0.8333415217817184,8.559857508778794e-16,0.6020527725790039
OID30930,3499,lmer,0.012283179798962604,0.024234216072328,0.612353303600254,-0.014962076316554513,0.01411001927098319,0.28907544017030873,-0.011584923494371121,0.014093815629831814,0.4111680167233438,0.7839149459294518,0.3184951042660431,0.6016042481862502
OID30931,3499,lmer,-0.00326701240479526,0.02238013585316577,0.8839633852953623,0.0017821144406189328,0.01395286313501134,0.8983780977838516,0.003755160493594056,0.013946632680266663,0.7877591363051398,0.9365216997113021,0.9064408629003099,0.8705076186717312
OID30932,3499,lmer,-0.00368602466521219,0.02191515364523165,0.8664588351854761,-0.028888244333154865,0.015529225683666905,0.06297253525145285,-0.0030395504520817087,0.015541436882366857,0.8449579926403143,0.9308775681878354,0.074582139602916,0.9094533750385678
OID30933,3499,lmer,0.0048423716710792476,0.02686762791652306,0.8570024859734583,0.014506594502542434,0.011350284671737352,0.20134482895484546,-0.004014689271951754,0.011298617928027735,0.7223776532083206,0.926328926978259,0.22661953601656268,0.832942753581034
OID30934,3499,lmer,0.009561084500759615,0.0220076675845988,0.664045676457945,0.0826657108085525,0.014359831808044114,9.664456350535289e-9,-0.028432038320995487,0.014359914853641121,0.04782377747571398,0.8175325167612428,1.4938765686205528e-8,0.1985637806271477
