protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID20783,2775,lmer,0.004239644393783381,0.022543252911238224,0.8508651282549584,0.3619302227209182,0.014216678024904362,2.576845297345519e-123,0.009989285514443069,0.015128306721337673,0.5091402714309734,0.993566042499081,1.6374171313349895e-121,0.6983655623616777
OID20784,2775,lmer,-0.0151149955444077,0.027360865742759657,0.5807850751970194,0.29945009460011246,0.011115496001270812,1.3608845882910606e-135,-0.00571287810651828,0.011763923063996486,0.6272891568182193,0.9334046023492707,1.473283574657322e-133,0.788769556727386
OID20785,2775,lmer,-0.11740980537927546,0.030824735898644512,1.4870480418015432e-4,0.10301424867214866,0.00992312681689939,1.3773102371190555e-24,-0.031384932139098196,0.010475917070499798,0.002772771343820256,0.14488804753953036,3.0021460276651744e-24,0.023274780433635733
OID20786,2775,lmer,-0.029015453146623817,0.027925530915879467,0.2990611101966199,0.16855393033727833,0.011622872332902436,2.888541702590206e-45,-0.013912574327018307,0.012304389763713293,0.25832814171086144,0.9192210937719016,8.74038032781695e-45,0.46239630019647765
OID20787,2775,lmer,-0.05188250879651005,0.02975689584421272,0.08156851399839779,0.13363361113264566,0.01125266832536334,2.0234555151289367e-31,-0.013090020528246416,0.011899388686075544,0.27145022880003056,0.9192210937719016,4.8921095704895625e-31,0.47798133661595743
OID20788,2775,lmer,0.024679595263109935,0.02202148904298047,0.26270420339590506,0.3181775698647536,0.016623160877728964,7.691149325678593e-75,0.03907656367714493,0.017726500835722747,0.027616763525572213,0.9192210937719016,5.443396968270829e-74,0.09353858607792304
OID20789,2775,lmer,-0.05164903008000978,0.03061672016341563,0.09194535742395755,0.07584904369395143,0.012905425329736589,4.9149520181258045e-9,-0.007318469003395546,0.013664197132939959,0.5923030864811778,0.9192210937719016,7.999111775602298e-9,0.7597783157627289
OID30420,2776,lmer,0.04149496921622916,0.021939797290112716,0.05889722246564875,-0.040549904188862125,0.01866517101853888,0.029941714777914782,0.023427778762909388,0.01993356895737385,0.24002743053132106,0.9192210937719016,0.037258251296655984,0.43718581367119647
OID30421,2776,lmer,-0.025879833613678353,0.02730533226058991,0.3434784852505577,0.04178872833472366,0.013261081572487763,0.0016510975636157663,-0.0011741876919244773,0.014068624766471144,0.9334936133859499,0.9192210937719016,0.0022179035746548183,0.964022925649355
OID30422,2776,lmer,-0.010656980477369316,0.030864866004361873,0.7299628022947988,-0.011517209320698161,0.01330229172282299,0.3867059503329945,-0.00885112572884432,0.0140915941224925,0.530006833009044,0.971534526003375,0.4219266490568656,0.7159010965274657
