protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30612,2935,lmer,NA,NA,NA,-0.13431174890336653,0.017336251472228746,1.488298211314141e-14,NA,NA,NA,NA,3.048560386595119e-14,NA
OID30613,2712,lmer,NA,NA,NA,0.36397227669817567,0.020675000251176464,2.1312909049700814e-64,NA,NA,NA,NA,3.05380554668017e-63,NA
OID30614,2935,lmer,NA,NA,NA,0.14654910522127224,0.01608036718828329,1.8975416660487548e-19,NA,NA,NA,NA,4.370775642128061e-19,NA
OID30615,2935,lmer,NA,NA,NA,-0.08508786938201682,0.0154173650152964,3.861747959905451e-8,NA,NA,NA,NA,6.581859642451098e-8,NA
OID30616,2935,lmer,NA,NA,NA,0.33453703855089517,0.020594897680943244,8.129393465936044e-56,NA,NA,NA,NA,7.222558389340747e-55,NA
OID30617,2935,lmer,NA,NA,NA,0.16895307550598562,0.021526383776020175,6.8182951177337924e-15,NA,NA,NA,NA,1.413466427598289e-14,NA
OID30618,2935,lmer,NA,NA,NA,-0.15089988554747605,0.01431888229461279,2.649371650103147e-25,NA,NA,NA,NA,6.926756112031751e-25,NA
OID30619,2935,lmer,NA,NA,NA,0.08544898796535566,0.014808698151275036,9.172720658642841e-9,NA,NA,NA,NA,1.6016644256399655e-8,NA
OID30620,2935,lmer,NA,NA,NA,0.11060310022846886,0.010102154862541622,4.0965393236764684e-27,NA,NA,NA,NA,1.1088956759184849e-26,NA
OID30621,2935,lmer,NA,NA,NA,0.3063412708141385,0.019877329311827004,1.023834049518587e-50,NA,NA,NA,NA,6.80151574259734e-50,NA
OID30622,2935,lmer,NA,NA,NA,-0.06869646662370475,0.015956190071571265,1.749013571782799e-5,NA,NA,NA,NA,2.7412153728263386e-5,NA
OID30623,2935,lmer,NA,NA,NA,0.34375543528032027,0.02009753199116134,2.6437508320539134e-61,NA,NA,NA,NA,3.246925916846046e-60,NA
OID30624,2935,lmer,NA,NA,NA,0.4151665598413152,0.020145214505842605,1.0558235102018006e-85,NA,NA,NA,NA,5.320986414344592e-84,NA
OID30625,2935,lmer,NA,NA,NA,0.2121966847186738,0.013966602159844948,2.1567407708757807e-49,NA,NA,NA,NA,1.3328019605221789e-48,NA
OID30626,2398,lmer,NA,NA,NA,0.049982123507131236,0.01849236718991276,0.006948512891181208,NA,NA,NA,NA,0.009477602977565409,NA
OID30627,2935,lmer,NA,NA,NA,0.024193240776163936,0.009530150013822897,0.011206750986122537,NA,NA,NA,NA,0.014991914477087495,NA
OID30628,2935,lmer,NA,NA,NA,0.19385483219325245,0.013870973500592732,2.174793969261824e-42,NA,NA,NA,NA,9.602602374852436e-42,NA
OID30629,2935,lmer,NA,NA,NA,0.28353669913557333,0.02079408090384376,1.5376379309797073e-40,NA,NA,NA,NA,6.375199535111609e-40,NA
OID30630,2935,lmer,NA,NA,NA,0.2693026988889687,0.020920187416104276,1.7579193315241913e-36,NA,NA,NA,NA,6.359403720352985e-36,NA
OID30631,2935,lmer,NA,NA,NA,0.20497853551383521,0.01668391004550847,1.7200928715920424e-33,NA,NA,NA,NA,5.6619723689904727e-33,NA
OID30632,2935,lmer,NA,NA,NA,0.33526757684783015,0.019400809537570254,1.8962393377928962e-62,NA,NA,NA,NA,2.508012481614767e-61,NA
